PK,Order No,Customer ID,Vessel Code,SR Code,Product Code,Port Code,Invoice Date,Sales (USD),QTY,COGS (USD),MC1 (USD)
1000,B20053168,5040510,327227,BGD1,55264,SINGAP,31-12-2024,-37760,-6400,0,-37760
1001,B20036747,5040510,327227,BGD1,46946,SINGAP,23-02-2023,-36176,-13600,0,-36176
1002,B20041619,5040510,327227,BGD1,46946,SINGAP,05-09-2023,-31920,-12000,0,-31920
1003,P60079697,5995321,380648,PAK1,67193,FUJAIR,16-09-2025,-24837.93,-1625,8985.34,-15852.59
1004,B20048549,5040510,327227,BGD1,46946,SINGAP,12-03-2025,-23936,-8800,0,-23936
1005,B20053168,5040510,327227,BGD1,48845,SINGAP,31-12-2024,-22608,-4800,0,-22608
1006,S10201119,5882690,375648,IND3,32546,SINGAP,16-02-2023,-22230.47,-4,0,-22230.47
1007,I010067719,5869490,485216,IND2,63975,TEESPT,05-06-2024,-18779.72,-12,12124.9,-6654.82
1008,B20041619,5040510,327227,BGD1,55264,SINGAP,05-09-2023,-18496,-3200,0,-18496
1009,B20053168,5040510,327227,BGD1,46946,SINGAP,31-12-2024,-17408,-6400,0,-17408
1010,I30043551,5809176,407499,IND3,34019,ROTTRD,31-10-2023,-15869.49,-4,8329.98,-7539.51
1011,B20038227,5026940,409046,BGD1,62296,JIANGZ,07-06-2023,-13583.81,-2,0,-13583.81
1012,I010081897,5973370,385252,IND1,36838,SINGAP,20-06-2025,-12878.85,-6,7203.49,-5675.36
1013,I010069669,5809176,405296,IND3,25972,HOUSTN,07-06-2024,-12833.62,-8,0,-12833.62
1014,P60083964,5995321,380648,PAK1,48845,FUJAIR,17-09-2025,-12420.54,-3000,7177.85,-5242.69
1015,I30034985,5809176,493921,IND3,25972,ROTTRD,29-11-2022,-11974.68,-8,6700.77,-5273.91
1016,B20048549,5040510,327227,BGD1,78142,SINGAP,12-03-2025,-11460,-2000,0,-11460
1017,I30035513,5809176,352046,IND3,63975,ISTBST,09-12-2022,-10458.9,-8,5977.08,-4481.82
1018,I114658876,5809176,375826,IND3,34019,ROTTRD,25-07-2022,-10432.5,-3,5980.63,-4451.87
1019,I113503235,5776828,465887,IND2,59810,ROTTRD,12-02-2020,-10080,-7,3831.26,-6248.74
1020,I30039757,5920605,470880,IND3,62296,SAOLUI,20-06-2023,-9823.67,-1,4733.06,-5090.61
1021,P60079686,5995321,380648,PAK1,67193,FUJAIR,16-09-2025,-8788.81,-575,2933.81,-5855
1022,P60084135,5995321,380648,PAK1,34924,FUJAIR,17-09-2025,-8755.47,-925,3864.89,-4890.58
1023,B20048549,5040510,327227,BGD1,36324,SINGAP,12-03-2025,-8660,-2000,0,-8660
1024,I30061088,5798892,422274,IND2,62296,SINGAP,10-12-2025,-7740,-1,0,-7740
1025,I010077782,5798892,467688,IND2,63975,SINGAP,24-01-2025,-7698.96,-6,3891.48,-3807.48
1026,I30047126,5869490,485216,IND2,42872,GIBRAL,31-03-2024,-7698.24,-2,576.23,-7122.01
1027,P60074550,5995321,380648,PAK1,62296,FUJAIR,11-10-2024,-7585.2,-1,3562.61,-4022.59
1028,I30050456,5809176,425048,IND3,57628,SANTAN,09-12-2024,-7187.58,-2,0,-7187.58
1029,I30044822,5973370,355829,IND1,25972,SINGAP,19-02-2024,-6727.71,-4,3466.98,-3260.73
1030,I30025763,5927813,370727,IND2,81860,SINGAP,18-01-2021,-6600,-4,580.34,-6019.66
1031,I30037136,5920605,371493,IND3,25972,SUEZPT,21-02-2023,-6510,-5,4723.94,-1786.06
1032,B20053168,5040510,327227,BGD1,82649,SINGAP,31-12-2024,-6400,-800,0,-6400
1033,I30051420,5949850,417477,IND1,17810,ROTTRD,30-10-2024,-6113.21,-2,467.67,-5645.54
1034,S10189168,5882690,417109,IND3,42872,MOERDK,30-09-2022,-5834.4,-2,0,-5834.4
1035,P60084092,5995321,380648,PAK1,36419,FUJAIR,17-09-2025,-5794.66,-2500,2685.73,-3108.93
1036,I30041150,5949850,322867,IND1,42872,HOUSTN,12-07-2023,-5789.52,-2,2902.47,-2887.05
1037,I30054838,5949850,477600,IND1,42872,EVRGLD,24-02-2025,-5756.24,-2,0,-5756.24
1038,P60086634,5995321,380648,PAK1,68642,FUJAIR,18-09-2025,-5667.48,-500,1037.85,-4629.63
1039,I114696874,5809176,301894,IND3,12221,SINGAP,29-08-2022,-5544,-2,3580.13,-1963.87
1040,I30047925,5138829,470083,IND2,66934,SINGAP,23-05-2024,-5380.13,-1,0,-5380.13
1041,I010081983,5809176,393346,IND3,25972,HOUSTN,09-05-2025,-5350.89,-4,2501.91,-2848.98
1042,I010079194,5869490,477701,IND2,61480,HOUSTN,06-03-2025,-5349.2,-16,0,-5349.2
1043,I30036642,5776828,423419,IND2,23083,SINGAP,02-01-2024,-5122.1,-1,0,-5122.1
