Port Code,Port Name,Zone ID,Port Country Code
SINGAP,SINGAPORE,Z1,SG
MINASQ,MINA SAQR,Z2,AE
SALDBY,SALDANHA BAY,Z2,ZA
PARANA,PARANAGUA,Z3,BR
FUJAIR,FUJAIRAH,Z1,AE
VITORI,VITORIA,Z3,BR
JEDDAH,JEDDAH,Z3,SA
KANDLA,KANDLA,Z2,IN
GIBRAL,GIBRALTAR,Z1,GI
DURBAN,DURBAN,Z2,ZA
SANTOS,SANTOS,Z2,BR
GDYNIA,GDYNIA,Z2,PL
VISAKH,VISAKHAPATNAM,Z2,IN
LASPAL,LAS PALMAS,Z2,ES
DHARMT,DHARAMTAR,Z2,IN
ALEXAN,ALEXANDRIA,Z2,EG
DAMTTA,DAMIETTA,Z2,EG
WILMNC,"WILMINGTON, NC",Z3,US
PRTSID,PORT SAID,Z1,EG
KRISHP,KRISHNAPATNAM,Z3,IN
TYNEPT,TYNE PORT,Z3,GB
HOUSTN,HOUSTON,Z1,US
SUEZPT,SUEZ,Z1,EG
DUNKEW,DUNKIRK EAST/WEST,Z3,FR
NANTON,NANTONG (WITHIN PORT LIMIT),Z1,CN
JIANGZ,JIANGYIN/ZHANGJIAGANG,Z1,CN
IMMING,IMMINGHAM,Z2,GB
NORDEM,NORDENHAM,Z2,DE
MUMBAI,MUMBAI,Z2,IN
PORTKL,PORT KELANG,Z1,MY
PORELI,PORT ELIZABETH,Z2,ZA
BALBOA,BALBOA,Z2,PA
VENTSP,VENTSPILS,Z2,LV
RUGAOO,RUGAO,Z3,CN
SKAGEN,SKAGEN,Z2,DK
VILCON,VILA DO CONDE,Z3,BR
CONSTZ,CONSTANTZA,Z2,RO
GHENTT,GHENT,Z2,BE
ALGECI,ALGECIRAS,Z1,ES
RICBAY,RICHARDS BAY,Z2,ZA
RIGAAA,RIGA,Z2,LV
ITAQUI,ITAQUI,Z3,BR
NEWORL,NEW ORLEANS,Z1,US
LIVRPL,LIVERPOOL,Z3,GB
NOROCH,Norocholai,Z3,LK
TRINCO,TRINCOMALEE,Z3,LK
TIANJN,TIANJIN (WITHIN PORT LIMIT),Z2,CN
KAOHSI,KAOHSIUNG INNER PORT PIER,Z1,TW
INCHON,INCHON,Z3,KR
SOHARR,SOHAR,Z3,OM
ULSANN,ULSAN,Z2,KR
ISTBST,ISTANBUL STRAIT,Z1,TR
PALMOS,PALAMOS,Z2,ES
KAGOSH,KAGOSHIMA,Z3,JP
KHALIF,KHALIFA PORT,Z1,AE
GANGAV,GANGAVARAM,Z2,IN
NAVLAK,NAVLAKHI,Z3,IN
VADINA,VADINAR,Z3,IN
TUTICO,TUTICORIN,Z3,IN
KLAIPD,KLAIPEDA,Z2,LT
KARAIK,KARAIKAL,Z3,IN
AUGHIN,AUGHINISH,Z3,IE
DAHEJJ,DAHEJ,Z3,IN
