Product Code,Product Name,Product Category ID,Product Subcategory ID
14907,Inscale liquid,PC1,20
48845,App chemical,PC1,20
15047,Ecoscale,PC1,20
16773,Coldcleaning,PC1,20
40190,Watercare ord,PC1,20
22307,Filtercare HD,PC1,20
27772,Coolertreat,PC4,25
38694,Boilerwater treat,PC4,25
11814,Deoxydent,PC4,25
29738,Watertreat,PC4,25
29872,Alkalinity Tablets,PC4,25
79243,Hydrazine Powder,PC4,25
26542,Nitrite 2 Tablets,PC4,25
56608,Ph Paper + Ph Reagent,PC4,25
86923,Prime Power Liquid,PC4,30
85629,Lexdec wash,PC1,20
83920,Fuel Hp Conditioner,PC4,35
48761,Deoxydent Scavenger Plus,PC4,25
25980,Trackpack 400,PC4,25
30111,Trackpack 500,PC4,25
43634,Discwasher,PC1,20
49731,Electrolyse chemicals,PC1,20
46269,Chloride Tablets,PC4,25
22299,Sticky Remover,PC1,20
42533,Sodium Thiosulphate Powder,PC4,30
56633,Metal Rust remover,PC1,20
78045,Watercare ord 2,PC1,20
17794,Zema treat test kit,PC4,25
33724,Trackpack 600,PC4,25
79269,PT Reagent Pack,PC4,35
67119,PT Reagent Pack Water,PC4,35
23863,Watercleaner,PC1,20
45548,Zymoclean 200,PC1,40
11625,Fuel Rust Remover Liquid,PC4,35
62204,Ph Paper Strips,PC4,25
56367,Boiler Coagulant,PC4,25
42014,Sample Bottles 100ml,PC4,25
18091,Nitrite 1 Tablets,PC4,25
55134,Air valve cleaner,PC1,20
63007,High Pressure Repair Kit Valves,PC1,45
23713,High Pressure Repair Kit Soft Parts,PC1,45
21239,Zema Treat Refill Reagent,PC4,25
27313,Universal Tank Clean,PC2,50
49235,Tripto Watertreat,PC4,25
36419,Hector clean,PC1,20
47625,Eco Handwash 10 Ltr,PC1,55
69128,Prime Power Liquid 12 Ltr,PC4,30
46942,Treat Comparator,PC4,25
68577,Treat Ph Disc,PC4,25
23621,Nitrate Test Strips,PC4,25
51918,Multipurpose chemicals,PC1,20
28208,Zymoclean 300 Dp,PC1,40
52926,Zymoclean 800 Nf,PC1,40
68642,Pool Water Stabiliser,PC4,30
42134,Fuel Test Kit,PC4,35
86172,Chlorine 250 Free Test,PC4,25
44992,Chlorine 100 Free Test,PC4,25
88611,Cleaning break,PC1,20
24216,Waterbreak Px,PC1,20
60644,Blackclean Lt,PC1,20
30126,Metal Rust Hd,PC1,20
74107,Coat Emulsion,PC2,60
78981,Almanac,PC1,20
36709,Slip Clean,PC2,60
88212,Diesel Engine Lubricant,PC4,35
78237,Bilgewater Flocculant,PC4,30
17710,Alkali Liquid,PC2,50
36601,Ballastguard Sts Solid,PC4,30
65691,Coupling Kit,PC1,45
82743,Zymoclean 400 Ss,PC1,40
48765,Fuel Rust Remover Powder,PC4,35
37011,Acetylene A 50 Filling,PC1,65
48641,Oxygen O 50 Filling,PC1,65
41002,Suction Hose,PC1,45
60819,Heavy Duty Hose 20 Mtr,PC1,45
61497,Extendable Lance 5 Mtr,PC1,45
61321,Universal Lance Nozzle,PC1,45
62915,Universal Spray Gun,PC1,45
75927,Heavy Duty Hose,PC1,45
87203,High Pressure Safety Kit,PC1,45
31394,High Pressure Spray Lance,PC1,45
72904,High Pressure Nozzle 100 Bar,PC1,45
32583,High PressureExtreme Hose,PC1,45
88908,Sodium Hypochlorite,PC4,30
59892,Nitrogen N 30 Filling,PC1,65
42872,Cryogen 504,PC1,70
85659,Cryogen 505,PC1,70
16377,Cryogen 506,PC1,70
74605,Fore cleaner,PC1,20
39876,Trans Renewer,PC1,20
64398,Max Laundry Powder,PC1,55
59624,Zymoclean 450 Soft,PC1,40
87566,High Pressure Machine Max,PC1,45
50667,High Pressure Machine Pure,PC1,45
26523,Hose Connector,PC1,45
62296,High Pressure Machine Extreme,PC1,45
63343,Alkli Liquid 200 Ltr,PC2,50
42628,Fuel Demulsifier,PC4,35
83133,Zymoclean 100 Floam agent,PC1,40
79802,Hardness Control Droper,PC4,25
74764,Motor Protection Switch,PC1,45
43879,Total Hardness Control Test Kit,PC4,25
13061,Zymoclean 100,PC1,40
40723,Suction Hose 2 Mtr,PC1,45
47705,Cryogen 507,PC1,70
83357,Ballastguard Fliter,PC1,20
34185,Fuel Catalyst,PC4,35
46773,Suction Hose 10 Mtr,PC1,45
80870,Infrasonic Cleaning Machine,PC1,45
65003,Nitrogen N 40 Filling,PC1,65
56356,Cryogen 508,PC1,70
36551,Almanac Go,PC1,20
36557,Diesel Engine Improver,PC4,35
78836,Iron Rust Test Kit,PC4,35
76139,Total Residual Oxidant Kit,PC4,25
10770,Cargodeep HD,PC1,20
44887,Chemical descale,PC2,60
86808,Rust Oil Test Kit,PC4,35
58811,Lance Extreme Without Valve,PC1,45
56327,Iron Rust Tube Pack,PC4,35
65128,Containers Pack 25,PC4,35
39829,Bacteria Testing Kit,PC4,25
59653,Cryogen 509,PC1,70
78322,Ballast Liquid Treat,PC4,25
11566,Phosphate Tablets,PC4,25
15166,Acid Tablets,PC4,25
41421,Deckscale clean,PC1,20
40596,Ballastguard Sbs Solid,PC4,30
61776,Cargowall clean,PC2,60
54415,Cryogen 510,PC1,70
11939,Cargo Clean coveralls,PC2,60
73135,Ph Meter,PC4,25
85634,Monoethylene Glycol Antifreeze,PC4,30
52970,Fueloil Rust Remover,PC4,35
82649,Anti Freeze,PC4,25
84253,Rotator Nozzle,PC1,45
80537,Diesel Engine CTT,PC4,35
40873,Fueloil Power Buster,PC4,35
64825,High Pressure Max Nozzle,PC1,45
51003,High Pressure Max Valve,PC1,45
83556,High Pressure Max Pump,PC1,45
62079,High Pressure Max Connector,PC1,45
48540,High Pressure Max Coupling,PC1,45
68047,High Pressure Max Spray Gun,PC1,45
38239,Cryogen 511,PC1,70
85879,Pool Water Filtrater,PC4,30
23083,Infrasonic Cleaning with Lance,PC1,45
29239,Cryogen 512,PC1,70
36167,Cryogen 513,PC1,70
62636,Cryogen 514,PC1,70
54405,Cryogen 515,PC1,70
46176,Cryogen 516,PC1,70
75504,Bromine Test Kit,PC4,25
44737,Corrosion Test Kit 50 test,PC4,35
68340,Conductivity Meter,PC4,25
70328,Silt Remover,PC1,20
28888,High Pressure Repair Kit For Max,PC1,45
77578,Ph Test Strips,PC4,25
40904,Diesel Engine Eco Booster,PC4,35
33529,Replacement Cell 2,PC4,35
58841,Rust Test Paper 100 S,PC4,35
26352,Ph Reagent,PC4,25
24205,Cryogen A,PC1,70
13892,Regulator 520 Ac,PC1,65
61757,Regulator 520 Ox,PC1,65
16953,Flashback Arrestor 40 10 Ac,PC1,65
49220,Flashback Arrestor 40 10 Ox,PC1,65
50546,Ballastguard Sns Liquid,PC4,30
46946,Fleetcom 100,PC4,25
78142,Oxygen Scavenger,PC4,25
51973,Max Hand Sanitizer 15 ltr,PC1,55
87837,Motor Test Kit,PC4,25
55264,Engine Water Treatment,PC4,25
13849,Hardness Treatment,PC4,25
36324,Condensation Control,PC4,25
46089,Coldtreat Fl,PC4,25
27998,Fleetcom 300,PC4,25
67104,Bacteria Count Test,PC4,25
33444,Legionella Test Kit,PC4,25
22621,Rust Oil Test Kit Pro,PC4,35
66026,Salt Control,PC4,25
43335,Max Liquid Hand Soap 12,PC1,55
30942,Filter Paper,PC4,25
17810,Cryogen B,PC1,70
71373,Cryogen C,PC1,70
31321,Zymoclean 500,PC1,40
52414,Bromine Tablets 2 bottles,PC4,30
31817,"Tuaff 5 60mm 330m Indigo 3x1,",PC3,75
44098,Regulator 420 Ac,PC1,65
68147,Regulator 420 Ox,PC1,65
19561,ChlorineTablets 250,PC4,25
29522,Cryogen Agent 1,PC1,70
63975,Tuaff 13  F45 [51mm] 330m,PC3,75
67193,Fueloil Burnfree,PC4,35
27044,Iron Tablets Bottle,PC4,25
58842,Copper Tablets Bottle,PC4,25
24159,Zymoclean Go,PC1,40
21065,Oil Water Test Kit,PC4,35
25456,Rust Oil Replacement Pack,PC4,35
66293,Tuff High Foam,PC2,60
34924,Diesel Oil Controller,PC4,35
37733,Cryogen Agent 2,PC1,70
81860,Cryogen Agent 3,PC1,70
75737,Cryogen Agent 4,PC1,70
32896,Cryogen gas 45,PC1,70
37975,Nitrogen N 60 Filling,PC1,65
31526,Liquid Nitrogen (LN₂),PC1,70
24069,Liquid Oxygen (LOX),PC1,70
88423,Cleaning Boots S5 Size43,PC2,60
52593,Heavy Duty Hose20 Mtr,PC1,45
35961,Liquid Argon (LAr),PC1,70
48747,Alkalifyne Tablets,PC4,25
89038,Nitrogen N 20 Filling,PC1,65
51680,Fueloil Valve Cleaner,PC4,35
44774,Calcium Hypochlorite Granules,PC4,30
38707,Liquid Helium (LHe),PC1,70
24711,Incubator,PC4,25
46025,Liquid Hydrogen (LH₂),PC1,70
15464,Regulator 300 Nitrogen,PC1,65
77672,Liquid Neon (LNe),PC1,70
10922,Liquid Krypton (Kr),PC1,70
59078,Max Liquid Hand Soap F5,PC1,55
58601,Liquid Xenon (Xe),PC1,70
38423,Phosphate Nitrite Tablets,PC4,25
46729,Cryogen‑Alpha,PC1,70
67300,Cryogen‑Beta,PC1,70
73485,Cryogen‑Gamma,PC1,70
57628,Cryogen‑Delta,PC1,70
36474,Regulator 330 Ac,PC1,65
57378,Regulator 330 Ox,PC1,65
58319,Cryogen‑Epsilon,PC1,70
17450,Cryogen‑Zeta,PC1,70
14397,Catalytic Test Kit,PC4,35
48194,Cryogen‑Theta,PC1,70
68465,Cryogen‑Lambda,PC1,70
54630,Cryogen‑Sigma,PC1,70
76165,Ballastguard Sns 40,PC4,30
80510,Ox Cylinder Connector,PC1,65
77753,Ac Cylinder Connector,PC1,65
59212,Cryogen‑Omega,PC1,70
83931,Max Disinfect,PC1,55
68769,Cryogen‑501,PC1,70
16639,Vacuum Cleaner,PC1,20
19871,Defoamer Concentrated,PC4,30
